"report_section","schema_name","total_tables","total_columns","total_estimated_rows","total_size","schema_trust_score","schema_trust_level","schema_sensitivity_level","schema_sensitivity_score","avg_completeness","pii_density","business_domain","data_owner_department","governance_priority","high_risk_table_count","encryption_required_tables","regulatory_frameworks"
SCHEMA-LEVEL KPI DASHBOARD,Sales,19,137,"253,735","21.90 MB",65.00,HIGH,HIGH,100,"91.2%","6.6%",Revenue Operations & Customer Relations,Sales Operations,CRITICAL,3,3,"GDPR, CCPA, PIPEDA, PII Protection Laws, Data Breach Notification"
SCHEMA-LEVEL KPI DASHBOARD,Person,13,70,"141,250","41.38 MB",63.00,MEDIUM,HIGH,91,"93.8%","24.3%",Customer & Identity Management,Customer Service,CRITICAL,1,13,"GDPR, CCPA, PIPEDA, PII Protection Laws, Data Breach Notification"
SCHEMA-LEVEL KPI DASHBOARD,Production,25,169,"349,895","26.98 MB",59.00,MEDIUM,MEDIUM,49,"86.8%","1.2%",Manufacturing & Inventory Operations,Operations,HIGH,0,0,"SOX, Industry Safety Regulations, Supply Chain Compliance"
SCHEMA-LEVEL KPI DASHBOARD,HumanResources,6,40,"934","1.05 MB",48.00,LOW,HIGH,80,"86.8%","7.5%",Employee Lifecycle Management,Human Resources,CRITICAL,0,6,"GDPR, CCPA, Employment Law, Wage & Hour Regulations"
SCHEMA-LEVEL KPI DASHBOARD,Purchasing,5,49,"13,426","1.48 MB",46.00,LOW,HIGH,91,"90.5%","6.1%",Vendor Relations & Procurement,Procurement,CRITICAL,1,1,"GDPR, CCPA, PIPEDA, PII Protection Laws, Data Breach Notification"
SCHEMA-LEVEL KPI DASHBOARD,dbo,3,21,"1,597","6.46 MB",41.00,LOW,LOW,27,"76.9%","4.8%",System & Reference Data,IT Administration,LOW,0,0,Standard Corporate Data Governance
